DEU,GBR,NLD,ESP
602066206453.6459,510117952354.85535,197576216043.7991,246201354368.35074
612304932794.2911,515538057140.1711,203750518380.17438,261501089523.0464
635089722492.9033,527118736192.4188,210293831025.91946,277148244560.7833
655134558558.3038,533911854495.6396,220135600790.6348,288748355770.1157
664435936798.0437,536101781338.0533,222164255992.87802,293136189331.12177
670853167965.7521,542242867571.42865,221241132195.17157,293267466309.8282
679433518512.3417,548031707901.44275,218680526105.96545,280927430311.42316
689023307829.3416,545856771504.2562,218721703074.27353,274903275621.8945
700704113755.9077,556686489733.8606,219940347775.24115,273013682746.57455
721037372998.3785,566442979096.1733,219769460742.7973,278346975760.28455
