,Code,Year,satisfaction,gdp_cap,unemp_rate,edu_exp,health_exp,emissions,gini
0,DEU,2005,6.619549751,37703.9329399406,11.1667003631592,4.2939600944519,10.31149673,981287.68434,32.1
1,DEU,2006,6.4168195720000005,39143.1662435764,10.2502002716064,4.2939600944519,10.17961693,994686.04577,31.3
2,DEU,2007,6.4168195720000005,40473.527449889596,8.65830039978027,4.36679983139038,10.05104923,972896.22535,31.3
3,DEU,2008,6.521790028,40989.4431148599,7.52449989318848,4.43594980239868,10.2510128,992116.30262,31.1
4,DEU,2009,6.64149332,38784.452482490604,7.74160003662109,4.90951013565063,11.23758507,950463.408604366,30.5
5,DEU,2010,6.724531174,40428.7210307617,6.96640014648438,4.94367980957031,11.0968647,948006.754235074,30.2
6,DEU,2011,6.621312141000001,42692.5197566424,5.82439994812012,4.82487010955811,10.77629662,929540.263405034,30.5
7,DEU,2012,6.7023620610000005,42822.099403579705,5.37939977645874,4.95658016204834,10.84700775,951716.711065489,30.5
8,DEU,2013,6.965125083999999,42914.4761126655,5.23059988021851,4.96111011505127,10.99187183,951716.711065489,31.1
9,DEU,2014,6.984214306,43560.6192440775,4.98059988021851,4.93962001800537,11.01583958,951716.711065489,31.1
10,DEU,2015,7.037137508,43937.9471317278,4.62419986724854,4.83498001098633,11.17801952,951716.711065489,31.7
11,GBR,2005,6.983556747000001,37159.798956229504,4.75029993057251,4.93913984298706,8.53398705,659108.09183,34.3
12,GBR,2006,6.801930904,37793.6185013342,5.34969997406006,4.98531007766724,8.69737816,658331.2438,34.6
13,GBR,2007,6.801930904,38384.2519713226,5.26200008392334,4.91482019424438,8.87322426,646412.1481,35.7
14,GBR,2008,6.9864635470000005,37903.3819323998,5.61499977111816,4.89331007003784,9.16623402,635417.17264,34.1
15,GBR,2009,6.90654707,36042.424228706004,7.53730010986328,5.07431983947754,10.01600361,584940.879687974,34.3
16,GBR,2010,7.029364108999999,36366.9831782522,7.78660011291504,5.70323991775513,9.98915195,609586.560951622,34.4
17,GBR,2011,6.8692488670000005,36607.9810897257,8.03769969940186,5.59523010253906,9.97346497,568061.828941121,33.2
18,GBR,2012,6.880784035,36892.8503113158,7.8846001625061,5.59523010253906,10.0517683,585779.783273432,32.3
19,GBR,2013,6.918055057999999,37398.7972183927,7.52419996261597,5.5297999382019,9.97855186,585779.783273432,33.2
20,GBR,2014,6.758147717000001,38251.7924802929,6.10960006713867,5.59899997711182,9.95758438,585779.783273432,34.0
21,GBR,2015,6.515445232,38839.1669568199,5.30030012130737,5.55615997314453,9.90435219,585779.783273432,33.2
22,NLD,2005,7.463979244,43507.3004303623,5.87249994277954,5.10939979553223,9.09666824,217083.632,29.0
