,genre_degree,avg_omni_degree,avg_pop_bias,avg_genre_playcount
soundtrack,3233.0,25.203835446953295,3224.6372243406263,134149.06588308074
danish,275.0,27.16,2684.037305033652,140620.57454545455
visualkei,347.0,24.161383285302595,2712.3991231801874,140132.65129682998
downtempo,2033.0,27.622725036891293,3123.522235345995,128359.96901131333
lounge,880.0,26.172727272727272,2962.9745499827327,125798.88181818182
noisecore,204.0,28.186274509803923,2488.919751439574,136635.72549019608
violin,288.0,24.10763888888889,2841.590147405789,120609.125
blackeneddeathmetal,333.0,27.843843843843842,2129.296146933993,132381.15315315317
vikingmetal,780.0,29.625641025641027,2377.876966790118,128323.11025641026
paganmetal,451.0,29.944567627494457,2218.484504201985,131276.51662971175
screamo,1500.0,26.596,2980.833506793173,141890.494
00s,371.0,27.87601078167116,3113.732710314421,157932.97304582212
coldwave,279.0,25.36200716845878,2530.0457878169836,124192.25089605735
house,2063.0,23.180804653417354,3040.1880069748267,131065.94861851672
diva,165.0,14.242424242424242,2505.0183085911112,157913.4424242424
oldies,608.0,28.348684210526315,3110.948964239407,130348.05263157895
liquidfunk,161.0,24.788819875776397,2472.3901782387093,123745.16149068323
opera,339.0,26.896755162241888,2804.723036197929,132551.8407079646
christianrock,264.0,24.96969696969697,2979.857585488622,134095.8106060606
beats,302.0,19.221854304635762,2898.480487654242,137269.76821192054
experimental,6881.0,25.299229763115825,3468.8857934010043,128086.92501089958
bigbeat,247.0,26.874493927125506,2935.1359824358074,128688.47368421052
finnish,985.0,28.03553299492386,2708.767718045931,133146.2538071066
hardcorepunk,960.0,26.867708333333333,2700.7562870651664,145358.73020833332
deathgrind,188.0,27.627659574468087,2136.053978197459,146108.5744680851
chile,182.0,15.813186813186814,2722.764808691387,141111.2142857143
techhouse,278.0,22.87769784172662,2537.6943516279375,127097.57553956835
freakfolk,290.0,27.23448275862069,3088.989525323099,125668.71379310345
dancehall,316.0,23.82278481012658,2745.8931116877334,133131.17088607594
norwegian,790.0,29.18860759493671,2762.228104357397,134697.69367088607
electroclash,517.0,29.852998065764023,3052.3418109416702,124447.59574468085
chanson,284.0,27.669014084507044,2951.0429463723294,134383.64084507042
deathmetal,3144.0,26.729007633587788,2692.710094671268,139717.22010178116
orchestral,257.0,23.116731517509727,2842.2068516658287,116425.20233463035
noise,2238.0,25.560321715817693,3002.050586587266,129529.22296693476
italian,633.0,25.527646129541864,2768.3578125066692,127791.887835703
pop,7093.0,21.984350768363175,3869.1441387167174,133047.15268574652
glam,208.0,23.129807692307693,3028.6649726964356,137561.16346153847
ninjatune,247.0,27.336032388663966,2906.5828706728057,129806.76518218624
softrock,455.0,29.36263736263736,3129.7127189130915,136823.3824175824
groove,238.0,20.10924369747899,2722.783802240578,124020.54621848739
glammetal,174.0,26.442528735632184,2523.790645311122,132971.0747126437
drums,161.0,19.652173913043477,2883.8691080522867,118507.77639751552
streetpunk,193.0,25.870466321243523,2577.895396868326,139920.36787564767
malevocalist,225.0,22.968888888888888,3009.870469751102,127103.05777777778
funk,2874.0,25.478079331941544,3249.3307687039282,135034.18267223382
powerpop,737.0,23.578018995929444,3159.261080527333,147694.7747625509
malevocalists,691.0,26.46743849493488,3216.111143804119,140797.18523878438
mathrock,966.0,28.25465838509317,3072.105365463912,127323.13250517598
darkambient,1534.0,27.941329856584094,2667.955685763375,133769.50195567144
jrock,863.0,22.697566628041717,2892.725480110041,137499.8203939745
australia,185.0,19.21081081081081,2413.846435383224,147536.97837837838
industrialrock,503.0,30.92445328031809,2992.0479749360966,139392.91650099403
australian,886.0,28.278781038374717,3028.9315303153257,142646.98306997743
dancepunk,201.0,24.388059701492537,3024.2050117173635,137580.90049751243
brutaldeathmetal,994.0,26.27364185110664,2368.440570137595,144919.5301810865
deathdoommetal,233.0,29.44206008583691,2104.7929221925315,133823.0515021459
vocaltrance,196.0,22.79591836734694,2594.990204199916,130304.19387755102
electronica,10274.0,23.076114463694765,3815.0555523635576,128138.57124781
numetal,1733.0,28.55799192152337,3068.9289562324793,140942.06001154069
french,1942.0,28.10401647785788,3034.359202896747,130928.04582904222
newrave,360.0,30.319444444444443,3337.054808213366,128298.675
dbeat,158.0,25.639240506329113,2362.7276369204815,146698.03164556963
folkrock,1154.0,27.959272097053727,3096.379396874683,128463.52079722704
slowcore,278.0,24.68345323741007,2798.4622191260382,123757.41726618705
postblackmetal,304.0,25.651315789473685,2192.11888636123,129476.60197368421
korean,466.0,16.603004291845494,2593.2269991083704,126372.91845493563
jungle,359.0,23.60724233983287,2509.1158316075666,117570.84679665738
hardrock,4025.0,28.22534161490683,3266.024929979538,136363.8047204969
greek,170.0,22.44705882352941,2442.706009238216,120896.5294117647
prog,224.0,21.3125,2873.0073586486515,110835.98660714286
metal,5262.0,24.64044089699734,3363.8762030344838,132600.70562523755
doom,544.0,23.13235294117647,2515.2445466178137,134391.69301470587
alternative,8440.0,23.427251184834123,4048.706182194518,129249.15616113743
psychedelic,3308.0,27.134522370012093,3226.675784513675,130655.38180169287
symphonicrock,167.0,27.35928143712575,2715.5898203765682,119611.91616766468
russia,161.0,18.819875776397517,2444.6932652055107,110138.51552795031
industrial,3334.0,28.047090581883623,3071.6095510145506,137432.2774445111
gothicmetal,1557.0,30.293513166345537,2692.969975113747,135740.856775851
german,1753.0,27.652025099828865,2866.2134968161026,139146.1893896178
energetic,160.0,18.86875,3034.400267537437,129682.2625
scandinavian,172.0,26.313953488372093,2887.308322456143,134734.23837209304
avantgardemetal,361.0,30.62326869806094,2381.6641727124115,140871.8947368421
psytrance,476.0,25.18487394957983,2537.9259396054476,124433.23529411765
gothic,1361.0,29.64070536370316,2917.927385843397,130536.23365172667
newage,726.0,27.66115702479339,2974.3759108854024,137959.50964187327
synthpop,2448.0,26.9281045751634,3140.444734220357,130354.21119281046
brazilian,895.0,21.020111731843574,2992.6875371644433,122961.1497206704
femalevocals,305.0,20.865573770491803,2929.60980083957,135160.89180327868
stonermetal,455.0,30.872527472527473,2534.7077004565554,133253.91428571427
gypsy,209.0,26.698564593301434,2960.375675172785,137000.0
swedish,1799.0,29.45136186770428,2982.438503076946,144481.91161756532
70s,1306.0,29.710566615620216,3131.675573151874,126650.58422664624
funkrock,267.0,26.588014981273407,3169.5215895422352,120179.22846441947
