,r_genre_degree,r_avg_omni_degree,r_avg_pop_bias,r_avg_genre_playcount
italian,633.0,28.2325,3236.4590269500522,131436.3675
beautiful,1307.0,27.079317269076306,3258.955315989658,138016.32429718875
mellow,800.0,27.56697247706422,3181.7106083903377,130858.30458715596
melodichardcore,661.0,26.7169373549884,3142.660071405724,132998.51044083526
electrohouse,303.0,26.273333333333333,3097.787340917919,125072.72666666667
sludge,1222.0,27.044228694714132,3188.6811049473595,131445.263214671
noisepop,342.0,28.694805194805195,3137.5378220337384,145859.5064935065
techno,2068.0,26.345664739884395,3306.6285894779926,132835.3676300578
melancholic,699.0,26.97117516629712,3090.2164017411797,131336.0509977827
80s,2702.0,26.562286689419796,3341.4903233897617,133239.98464163824
irish,656.0,27.6325,3133.81708246033,140971.6325
nwobhm,352.0,26.43646408839779,3098.390445975435,122715.27071823204
downtempo,2033.0,26.797169811320753,3284.9794844506487,130042.12971698113
korean,466.0,27.50378787878788,3105.576521687714,125563.92424242424
femalevocals,305.0,27.513698630136986,3081.808367512418,131658.67123287672
instrumentalrock,210.0,30.023809523809526,3075.214177644085,114443.45238095238
chillout,2853.0,25.77951180472189,3398.0244292208613,131055.39095638256
hardcore,3917.0,25.49394536750211,3506.3461602181455,131314.1424950718
favorite,275.0,24.274193548387096,3231.501457675197,151925.67741935485
happy,485.0,28.302919708029197,3098.999940618701,147090.64233576643
sweet,222.0,27.846153846153847,3126.5236121951652,134680.65934065933
psychobilly,288.0,26.702479338842974,3135.8964902939874,135281.2561983471
prog,224.0,26.736263736263737,3247.268041707799,148197.07692307694
grindcore,1513.0,27.44370308590492,3274.6310412147627,133374.43953294412
ballad,562.0,26.292035398230087,3118.1979300263147,132646.2064896755
latin,774.0,27.882575757575758,3111.96838502211,131578.97348484848
trap,670.0,28.32470588235294,3179.9228783128874,130131.28941176471
jazzrock,279.0,27.427350427350426,3152.2765953851904,126632.88888888889
darkfolk,267.0,27.95,3139.9558125308936,134987.8
artrock,777.0,28.4618320610687,3131.362807448512,135480.5935114504
usa,303.0,28.993150684931507,3140.8029751321687,136656.55479452055
rapcore,639.0,28.622222222222224,3106.4473365345843,141900.43456790125
femalevocalist,963.0,27.96960926193922,3197.210871043292,142367.36468885673
instrumental,5056.0,24.85747863247863,3623.444126705322,130125.01047008547
fun,416.0,28.50224215246637,3210.810026591263,126404.7668161435
freakfolk,290.0,27.86466165413534,3089.4449420381743,128284.12030075188
mathcore,670.0,26.101204819277108,3234.5067785327415,136042.10843373495
indierock,4935.0,25.089591567852437,3618.5726301226305,131331.8133509003
worldmusic,291.0,26.296296296296298,3069.069673178702,131949.9111111111
piano,2278.0,26.662724935732648,3332.8170448862165,130886.60925449872
goth,509.0,26.75084175084175,3132.2497114574817,132526.71717171717
crust,509.0,27.41750841750842,3208.506675283948,133572.12794612793
spanish,704.0,28.112798264642084,3164.383454965944,122508.89587852494
garage,520.0,26.934931506849313,3126.4727446050374,140555.29794520547
relax,286.0,27.385714285714286,3212.7305095757506,131895.4357142857
oldies,608.0,26.463806970509385,3141.012810916953,133936.14477211796
summer,322.0,27.98701298701299,3065.332808676188,133188.67532467534
powerpop,737.0,26.305785123966942,3150.350470659312,126255.55165289257
indiepop,2852.0,25.752614641995173,3379.68936195116,129356.05189058729
rockandroll,392.0,28.25242718446602,3184.509927148691,120794.06310679612
favorites,500.0,27.812720848056536,3132.6249134585005,114315.71378091873
vaporwave,303.0,27.427586206896553,3081.0719234186995,132636.9448275862
jazz,4947.0,25.03409090909091,3623.825145185913,132133.1791958042
techhouse,278.0,27.862068965517242,3275.6903794748023,133874.2068965517
postmetal,914.0,27.484326018808776,3200.761049052582,134067.5501567398
podcast,422.0,29.087155963302752,3099.2295611666073,146008.54587155965
nujazz,535.0,27.18553459119497,3218.434459093607,118009.31446540881
freejazz,385.0,27.417061611374407,3092.192152456702,143842.28909952607
france,208.0,27.475609756097562,3131.9618050724525,146863.36585365853
rocknroll,433.0,27.99134199134199,3144.5887454966814,130160.28138528139
female,529.0,26.49079754601227,3174.452058357792,133675.74846625768
mpb,596.0,28.581967213114755,3118.5363468547043,128816.4262295082
grunge,2434.0,26.35240820219361,3353.641582740265,135479.68907963758
canada,269.0,24.936363636363637,3098.4068094343647,124257.07272727272
progressivemetal,3039.0,26.62635311683464,3395.58530148914,130605.03882045539
poetry,288.0,26.796875,3105.7603555793535,129290.796875
vocal,327.0,26.56,3121.1083788500905,135788.68
avantgarde,1751.0,27.105668299510146,3231.685762253596,128533.21973407977
contemporaryclassical,424.0,27.318367346938775,3202.250927511106,140820.6775510204
electronic,9433.0,22.397634313508732,4182.0979531904695,129749.79239442847
glamrock,701.0,27.353070175438596,3122.8226179015887,138575.38377192983
symphonicblackmetal,572.0,28.495677233429394,3176.3538435991672,134608.12103746398
progressivehouse,311.0,29.235294117647058,3182.855973486037,148303.0588235294
pop,7093.0,23.807692307692307,3861.2206627068977,130044.40772212284
oldschool,352.0,29.6524064171123,3160.9546477646004,132062.81818181818
gay,321.0,27.226993865030675,3222.81883177165,133780.29447852762
fusion,781.0,27.891221374045802,3173.7895063951087,132699.53816793894
sweden,261.0,29.13821138211382,3170.1869410240374,156673.07317073172
guiltypleasure,212.0,28.44943820224719,3090.16205935624,127392.57303370787
remix,572.0,27.915014164305948,3136.3512624111095,131355.42209631728
avantgardemetal,361.0,28.020833333333332,3175.4734032895867,130563.78645833333
club,274.0,28.937007874015748,3066.5110313084638,148748.8188976378
industrialmetal,1363.0,27.612933458294282,3231.9519981458834,130757.49859418931
oi,233.0,28.41304347826087,3176.5992611815427,142670.85869565216
cool,333.0,27.578034682080926,3136.753617090576,139898.67630057802
bluegrass,247.0,29.24271844660194,3198.013221929195,150352.8932038835
britpop,1877.0,26.201037613488975,3269.353401186778,134416.7542153048
ska,1487.0,27.535344827586208,3248.287926198341,131899.94655172413
darkambient,1534.0,26.852244897959185,3269.0065156343962,129740.22285714286
dark,732.0,27.84521384928717,3208.73339348804,140008.7881873727
gothicmetal,1557.0,26.04895666131621,3254.32359172483,127641.86918138042
industrialrock,503.0,26.82456140350877,3062.5218422124726,128794.70175438597
garagerock,1125.0,27.875148632580263,3210.3956617800436,133974.54934601663
canadian,1257.0,26.553684210526317,3223.2399757840376,139194.0610526316
psychedelic,3308.0,25.65615462868769,3442.290518202834,135511.36249576128
genius,324.0,28.941176470588236,3076.8604392042207,139424.48366013073
newyork,314.0,25.277027027027028,3159.1676830326664,127391.03378378379
glitch,720.0,27.17536534446764,3166.411847289252,133121.57620041753
ebm,845.0,27.295025728987994,3226.8817987702587,135480.17667238423
cloudrap,210.0,25.20731707317073,2920.8455201812462,128470.10975609756
groovemetal,618.0,26.792746113989637,3133.3879410681498,137450.20466321244
classic,690.0,27.31208791208791,3216.9375299210305,136442.410989011
krautrock,509.0,26.89864864864865,3127.7428776330785,136842.75337837837
romantic,475.0,28.22463768115942,3128.2309397596505,124527.12681159421
folkmetal,1417.0,27.360641139804095,3216.458033561621,139149.58414959928
gangstarap,219.0,29.688172043010752,3014.993967610333,134597.18279569893
dj,203.0,25.012820512820515,3086.23266436337,125482.1282051282
60s,1316.0,26.585244267198405,3244.155140484843,132781.3888334995
awesome,1096.0,26.540272614622058,3227.3157208441166,136660.39529120197
darkmetal,252.0,27.120689655172413,3175.927190417943,130755.75
christianrock,264.0,27.095652173913045,3207.206286415962,126033.6695652174
guitar,1178.0,27.15607580824972,3214.819961173693,125402.80602006688
americana,416.0,24.43421052631579,3046.50393593054,122210.18859649122
acoustic,3631.0,25.406930389451087,3489.9056330858543,128790.22201778596
powermetal,1784.0,27.512593601089176,3278.8049676500414,133288.41660993872
ambientblackmetal,223.0,27.306818181818183,2899.596050711095,151859.92045454544
melodicmetalcore,260.0,29.026086956521738,3164.0074149511133,133750.13043478262
funeraldoommetal,215.0,28.685393258426966,3214.852069999296,116709.66292134831
r&b,374.0,27.182795698924732,3096.366326670505,123224.53225806452
nintendocore,241.0,32.04123711340206,3090.079682900689,136390.79381443298
russianrock,351.0,24.825,3137.184841036601,139415.05625
witchhouse,304.0,29.026143790849673,3218.9921708858437,151028.70588235295
reggae,2093.0,27.055745164960182,3337.203375317117,132353.0170648464
saxophone,242.0,28.266666666666666,3055.4325198738834,122493.45714285714
jrock,863.0,27.072026800670017,3190.971401465293,133862.2931323283
stonerrock,1317.0,26.544291338582678,3223.1892106478017,130955.59645669292
party,315.0,28.013422818791945,3065.378394247336,128361.6644295302
experimentalrock,416.0,28.766519823788546,3129.435356395781,135967.05726872248
thrash,408.0,28.388392857142858,3148.328158277418,136288.2142857143
czech,225.0,28.02970297029703,3193.6392373389895,126756.0396039604
postrock,4063.0,25.422858686841394,3517.3651890727333,133559.3642258849
australian,886.0,28.071428571428573,3161.594902830953,131361.94155844155
argentina,227.0,27.03846153846154,3125.080860767747,138646.65384615384
dubstep,1591.0,26.2018779342723,3295.2138068305,133982.5805946792
sexy,790.0,25.861742424242426,3187.730058354062,131241.19128787878
soundtrack,3233.0,25.7768479776848,3453.7818263997765,134330.7119944212
melodicdeathmetal,2169.0,26.38876772082879,3304.6261892854845,131927.03435114503
orchestral,257.0,26.771428571428572,3133.6265728403782,120875.90476190476
melodicblackmetal,533.0,28.21069182389937,3179.0146202581095,139226.45283018867
synthpop,2448.0,26.982338902147973,3335.8717650670787,134008.56801909307
under2000listeners,328.0,29.045161290322582,3114.5678230199464,164379.47096774195
chill,1047.0,27.942257217847768,3225.0382024555433,133520.1902887139
doommetal,2224.0,26.839617631439193,3315.3098963758384,136510.2841210834
atmosphericblackmetal,662.0,27.480459770114944,3158.825102201077,134006.5287356322
chillwave,393.0,26.727272727272727,3119.3476533575645,154057.79545454544
pianorock,224.0,26.257142857142856,3254.916010843931,160880.2
postblackmetal,304.0,29.291666666666668,3151.27270629988,138801.0625
relaxing,331.0,28.1875,3160.9414657076018,129332.75625
poprock,1827.0,26.651565622918053,3316.1905275746594,132535.0333111259
polish,1032.0,26.86985391766268,3195.654610686514,126541.33864541832
depressiveblackmetal,446.0,27.6484375,3139.4789737051988,137846.8203125
ambient,6427.0,24.134293757244578,3758.6415547284478,130872.01109455207
rap,3641.0,25.96315468940317,3436.839791327082,130552.20493300853
punkrock,3195.0,25.730538922155688,3401.139663675656,130468.78795350475
violin,288.0,26.729323308270676,3116.8233444112225,125928.07518796992
melodic,396.0,28.55121951219512,3077.63704867844,130741.01463414634
sludgemetal,337.0,27.704545454545453,3133.2280559108885,128795.01704545454
oldschooldeathmetal,301.0,26.9296875,3104.220820258722,123408.1171875
progrock,224.0,27.141304347826086,3175.6748402598896,139096.21739130435
psytrance,476.0,26.298932384341636,3204.078486619912,132497.60854092526
triphop,3132.0,25.849295265630648,3416.5069554387624,130204.61799783159
french,1942.0,26.529739776951672,3277.2181864995127,133142.0377942999
mathmetal,268.0,25.871794871794872,3173.510397355766,133342.4700854701
jungle,359.0,28.44864864864865,3127.0143693415857,135142.24864864865
folkpunk,278.0,27.0625,3001.410961287282,124592.90625
opera,339.0,26.81045751633987,3237.324637284889,136294.0
spokenword,337.0,28.91025641025641,3231.104456000484,139561.94871794872
slowcore,278.0,25.747899159663866,3109.9273706880854,122194.25210084034
electronica,2990.0,26.048179059180576,3412.227993019641,130628.23596358119
melancholy,567.0,26.836206896551722,3071.5869023460773,127208.82471264368
posthardcore,2240.0,26.47669491525424,3305.168942547077,129817.17372881356
malevocalists,691.0,27.280434782608694,3117.670158378395,133571.0608695652
twee,361.0,27.95294117647059,3181.3861565858583,125201.41764705883
jazzfusion,341.0,26.853658536585368,3206.2526290755445,138995.35975609755
martialindustrial,201.0,23.32894736842105,3244.39655812925,154213.56578947368
altcountry,534.0,29.268370607028753,3174.430422201154,123469.52396166134
instrumentalhiphop,330.0,28.111842105263158,3077.1940500777146,140380.90131578947
love,1007.0,27.926490984743413,3206.6112785773307,126897.32316227462
