,r_user_degree,r_avg_pop_choice,r_avg_aud_omni
rafaeldadalto,20.0,3578.0625,25.87403059115026
Weibsteufel,37.0,3775.8846153846152,25.579759001715043
rsmrnpnn,7.0,2207.0,26.79627504201673
unclerandy1969,1.0,269.0,24.936363636363637
MOHAXA,3.0,4555.666666666667,25.075515708360655
aimango_fm,27.0,3160.5,26.009787364309755
mwchurst,19.0,3826.25,25.61274403793511
larsatomica,2.0,2303.0,26.6792088521461
bialawrona,4.0,3058.0,26.255779567338966
DarthPorto,2.0,3331.0,25.80390899645169
ichbinbored,1.0,819.0,26.799638989169676
Keytar-Hero,38.0,3413.266666666667,25.949984421570047
yavanna115,4.0,1457.3333333333333,27.002636022846502
Chumsicles,38.0,3070.4242424242425,26.044756617621733
DMMeF,35.0,3856.16,25.55797986104647
Tulcon,2.0,3178.0,26.499225451034224
crannk,32.0,3527.8387096774195,25.883064038726097
duygukaradag,7.0,1348.7142857142858,26.806557353955263
Luoui,4.0,6250.333333333333,24.23576139012488
_Raagoon_,37.0,2740.4444444444443,26.31853155170625
homis,11.0,3563.909090909091,25.628450445731417
LorranCipriano,5.0,2316.6,26.52482485560167
MacKordian,25.0,4444.529411764706,25.121235931879614
Lalainee,19.0,3994.9375,25.52857497540483
Ross7,2.0,1275.5,27.182878598967175
Bilgey,10.0,3413.714285714286,25.819598312377984
-LPS-,6.0,4824.666666666667,24.765260058500377
jozzlwow,3.0,7709.0,23.426707241497375
Fatal_Enigma,15.0,4871.166666666667,24.94751962074723
pfancsi92,3.0,4107.0,25.445133680389585
SWQ36,1.0,5056.0,24.85747863247863
LastInBlackList,34.0,3320.4,26.13753251740475
ferdiural,1.0,260.0,27.025862068965516
IceBlueEyes,5.0,3187.0,26.173677784299635
herrnenne,1.0,8991.0,22.719120725750173
x--Lilly--x,1.0,303.0,26.273333333333333
Caco-Daemon,22.0,3457.0555555555557,25.839220180890507
gusnroses6,1.0,3195.0,25.730538922155688
Matt_2k34,1.0,4935.0,25.089591567852437
RatedNC-17,8.0,1965.0,26.33319045325956
Incinerator666,2.0,2246.0,26.381887231045987
Leu_,8.0,3741.5,25.628328273261616
Casper4444,31.0,3819.8,25.61069116744118
SmilesanElectro,47.0,3287.037037037037,25.866222323816892
LuciferBathory,27.0,2889.809523809524,26.043542883523884
Pellkoppf,23.0,4373.823529411765,25.42218172421085
shruikan966,50.0,3618.4117647058824,25.69071703535042
pjmihyo,1.0,800.0,27.56697247706422
wnalyd,1.0,1799.0,26.572696245733788
Zeldadaft96,8.0,2796.8333333333335,25.950228673156847
xraul,30.0,4034.8260869565215,25.44884570942041
AmicusVitae,26.0,3459.904761904762,25.78919003085834
filipebocao,15.0,3407.4545454545455,25.989400878345236
DstrDanny,1.0,11031.0,21.538475993610824
lukekurtis,15.0,4079.6,25.405340233339736
feltgrape,29.0,2953.076923076923,26.047879990737968
blueamerican4,32.0,3007.8260869565215,26.073027402842843
mah86400,6.0,5143.0,24.864056045899677
pfvasconcellos,3.0,1768.6666666666667,26.962193363807817
SanguineElf,1.0,6881.0,23.663337430854334
electro_maury,6.0,5181.333333333333,25.075897676071694
endue,21.0,3761.1052631578946,25.6988103999302
fmmatthew,6.0,3230.2,26.07010759401644
Metal4ever88,8.0,3690.0,25.759019886921486
krecc,2.0,3020.0,26.23922644766933
Verons,3.0,8991.0,22.719120725750173
creatonez,1.0,11031.0,21.538475993610824
mrtastycakes,1.0,9433.0,22.397634313508732
evertinho013,3.0,464.0,27.171875
Gangstera,38.0,3085.7586206896553,26.133373039050056
Deus_ex-Machina,1.0,5616.0,24.578053435114505
georgebounacos,26.0,2781.235294117647,26.349489124815207
JonnyGreenwood,5.0,5150.0,24.996000323407205
Afangefel,33.0,2557.5172413793102,26.416267592014385
Drake_Rubicon,5.0,4291.0,25.23962669041602
ReasonToBelieve,3.0,1677.3333333333333,26.298819271542886
itwassoclear,4.0,1758.6666666666667,26.8590899466944
misswired,2.0,4350.0,24.93274469907903
wilzilla,2.0,8440.0,22.839627329192545
ana33108,22.0,3005.4736842105262,26.1497676913681
Prosiak666,4.0,5348.25,24.879781561235347
seanmadsen,2.0,2386.0,26.517063484212372
empty1989,4.0,5554.75,24.676445026084842
biolo_gi,3.0,5599.666666666667,24.766366063640078
PetaHC,3.0,2754.3333333333335,26.273201376087496
sassyliker2d2,1.0,11031.0,21.538475993610824
bram_van_kooten,2.0,4318.5,25.14114273668047
jazz_woman,21.0,3758.6666666666665,25.94053239712293
CryingQueen,1.0,790.0,25.861742424242426
Estreindre,3.0,1832.5,26.504940686079912
nastradamus84,34.0,3510.653846153846,25.78127950951039
Billy45,3.0,5256.0,24.53513391015271
YINGYINGPANG,20.0,5344.071428571428,24.6369200420252
tadeusrox,4.0,3474.0,25.77004875504984
niewidoczny,3.0,8440.0,22.839627329192545
wogyac,8.0,2139.0,26.39716668485651
Marcellofran,7.0,5492.25,24.696640384177403
gabriel_sk8er,2.0,2189.5,26.33263181133561
stan_da_lada,32.0,3511.8333333333335,25.794491834725253
jessycamattos,47.0,2754.1315789473683,26.149640281216872
Magayne426,2.0,2538.5,26.30956471808054
PauloVictor_,3.0,5809.0,24.144955043975344
peregrind,6.0,4153.8,25.494399703669888
yarmiychuk,17.0,3580.3076923076924,25.787566198519293
ricotijsen,10.0,5901.571428571428,24.203787093285364
sonesu,43.0,2845.6857142857143,25.94770512267204
edcox,33.0,2523.3076923076924,26.445726556659718
BlueTiger84,2.0,2084.0,26.641624632385707
Solus-,1.0,2434.0,26.35240820219361
ichitkiller,2.0,2640.5,26.432095513391438
djuro_xl,4.0,516.0,26.61198738170347
Krigorn,19.0,4193.928571428572,25.46675848363413
LaShagoffSt,7.0,2173.714285714286,26.527925473686018
Iceferno,10.0,3836.1666666666665,25.331289530873836
special_m,9.0,2094.0,26.557865947155975
mr_jester_tear,44.0,3237.4285714285716,25.91966426748578
Joeypx,1.0,780.0,26.267441860465116
Nataly_V,3.0,5312.666666666667,24.65507098080937
All_Alone925,7.0,2222.0,26.340667968599316
Darkchef,39.0,3250.1612903225805,26.02085645842664
lenotti,2.0,6537.0,24.18039450145595
Sam0pezzz,16.0,2256.181818181818,26.60837382398886
Kulus62,4.0,3149.5,26.252914179078715
staticsid,2.0,3480.5,26.701332182136667
HotJon,2.0,2295.0,26.595077142162836
GoatmealCrisp,7.0,3322.1666666666665,26.10229148056665
xmag,28.0,2695.72,26.304598241426994
like-herod,1.0,8440.0,22.839627329192545
pdrocavalcanti,4.0,3563.6666666666665,25.924574715565225
AlexGandin,1.0,4030.0,25.61872270742358
boardstupid,25.0,3307.3,26.012124783598075
anneette,23.0,3837.125,25.568242613216572
NARHALLE,2.0,5262.0,24.71641791044776
sweetgravity,1.0,3705.0,25.979372197309416
LastSamuray,16.0,2924.0,26.2871129224797
Daniel-Freelove,4.0,2895.5,26.15757205837943
VoG,19.0,3354.8888888888887,25.83319290070296
Rjscheuerle,27.0,2872.0,26.162467969385553
crushed_candy,24.0,3212.8,26.10251239831593
Cysquatch193,49.0,2885.595744680851,26.19837521128161
XCellsior,5.0,6392.25,24.362113657190783
Takkak,3.0,5436.333333333333,24.752658744729306
Obscure_Thing,2.0,5455.5,24.641030069138957
baskua,1.0,2068.0,26.345664739884395
AbneRFenty,14.0,5019.4,24.83398133265344
punkidu,29.0,3949.5263157894738,25.48965294947751
Hankman1975,2.0,2688.5,26.17810228651571
langers73,8.0,3544.0,25.88767001974994
diigows,2.0,8440.0,22.839627329192545
moley75,21.0,3549.75,25.786072848364043
Glorfindel5,32.0,3505.75,25.791329509178578
rumpnisse,1.0,785.0,27.284046692607003
LuciaKH,3.0,4976.5,24.66628291017902
Podolski87,25.0,3595.7368421052633,25.61759361349741
jeffbyrnes,21.0,3436.6875,25.80170565850955
Toniscael,19.0,3546.529411764706,25.931183122905757
Shurow,9.0,5500.571428571428,24.521169233906807
Rowan,26.0,3517.818181818182,25.791575476378682
nukumi,16.0,2698.75,26.257764541650573
CocoDeux,2.0,6017.5,24.34310163316905
Arieelle,4.0,2003.6666666666667,26.817983602984597
BlindGuard1618,45.0,2815.3823529411766,26.252990496068076
cursive_pulse,1.0,2278.0,26.662724935732648
faizalnurizal,3.0,1767.5,26.37247357380825
itishere,8.0,4143.833333333333,25.29924360319941
Brudaz,8.0,4690.428571428572,25.286226063208407
Steginator,35.0,3208.84,26.10102570538963
Brozbery,44.0,3536.0588235294117,25.809898656857523
JonasGenz,4.0,4063.25,25.4259831940057
lucasjsdmf,1.0,9433.0,22.397634313508732
EnemyScoot,7.0,3618.0,25.69953319686865
SoSoGay90,5.0,4307.0,25.260708356572263
LuVi,15.0,5584.818181818182,24.615703489155543
sepruda,8.0,3135.625,25.874198498734216
alexisbea,37.0,2400.0,26.444047262349063
brooksblack75,8.0,3712.8571428571427,25.569323807362668
NamelessHomeles,15.0,4689.0,25.213858761690297
Brionac,6.0,3582.0,25.775695933192925
Chaos_Weaver,6.0,6813.2,23.914960771242857
doppel-match,41.0,3203.8064516129034,26.01732091196386
Lucho_Zeppelin,46.0,3151.769230769231,26.077777680392735
Saveli,7.0,4606.5,25.04813106229837
qingying1989,41.0,2874.264705882353,26.057399751588825
kazumatsu,6.0,3454.6666666666665,25.71482562545987
armando-martins,14.0,3712.3,25.49997698073432
hacker_linux,3.0,2903.0,25.90390148444783
Enthroner,7.0,4441.166666666667,25.32740521351781
leandrolips,1.0,3132.0,25.849295265630648
xadikx,3.0,4749.0,25.224904797560914
xiaozhvn,16.0,3945.266666666667,25.501279130469396
w0rldAroundMe,10.0,5278.25,24.683286743698226
luanamorkay,19.0,4598.3125,24.95633842156152
M_Vreidson,38.0,3461.25,25.774991941638966
lunarwing,43.0,3154.3142857142857,26.050941636994107
pulkownik_mrz,34.0,3378.7241379310344,25.836794719570467
ShiniShami,3.0,4923.5,24.962816177740223
onnovdw,2.0,1010.0,27.247992892700925
scaacacsc,11.0,3482.1,25.738997472524016
Knoddus,4.0,1840.0,27.63884146397283
annedt,2.0,5051.5,24.820716066584538
lbtnet,8.0,4787.333333333333,25.182067938957942
The_Smoothness,12.0,3298.7,25.77669558213941
aarthur_,1.0,1306.0,27.651162790697676
GoodBye1,1.0,4520.0,24.986724595703595
LastPallbearer,1.0,2135.0,26.2853170189099
Prince-of-lies,50.0,3215.6923076923076,25.951173497933834
jhimbob,19.0,3566.3125,25.809667018361637
afmg24,2.0,2347.5,26.18323416323051
leszekthewhite,5.0,4405.5,25.5402457351844
tarikaltug,4.0,3039.0,26.62635311683464
lownotes42,1.0,11031.0,21.538475993610824
UncouthYouth,6.0,5724.0,24.557361718487343
harshanbhardwaj,18.0,3965.6363636363635,25.274012912721073
nr1killabee,17.0,2650.714285714286,26.30122861239784
rafabarufa,2.0,689.0,28.548098434004473
MrReimar,45.0,3425.3333333333335,25.872775160321133
PedroH508,1.0,11031.0,21.538475993610824
alanizmarcos,15.0,4020.777777777778,25.44651089421779
Inhuman_595,39.0,3278.4375,26.0987254436991
AdamFirst,3.0,4058.0,25.375957896315683
mattpooleKJ,3.0,3704.5,25.695103284874826
samantharose69,1.0,1732.0,26.339957416607522
bangtanpie,5.0,4328.4,25.24015138904311
Split_Kao,4.0,2812.5,26.483426224932654
k9999999,2.0,5496.0,24.638527767686842
iamaxis,9.0,6614.666666666667,24.056515367751334
paisthereason,7.0,1506.2,26.569404153210048
eggcute,19.0,3785.6111111111113,25.72221127720142
Tiago_Nobre,2.0,1396.0,26.823260073260073
ricometa,4.0,4749.0,25.46200470144818
sibhip,9.0,3732.125,25.837001016058462
Asmadey79,44.0,3198.1714285714284,25.92929825504533
GeleStift,32.0,3051.4074074074074,26.07018334427539
do_ob--,6.0,4494.25,25.071591844721983
jessicalinde,25.0,3689.35,25.54707942520114
ellwoods,4.0,3148.0,25.93674440097473
whitemartini,6.0,4917.8,24.752960769435226
J0SEK,23.0,2883.0,25.97656047395
polvostelar,8.0,4454.0,25.440716854738703
DHRIP,16.0,3429.8,26.172349433253096
thewiktor2,2.0,5646.0,24.29612098559386
regn-og-vind,10.0,4991.555555555556,24.946871580052726
jcruiz-co,12.0,2024.6666666666667,26.3223812536601
Kyosuke75,12.0,5127.0,24.82862012295448
StormJay,43.0,2954.0,26.257250712901712
swarthydog,2.0,2353.5,25.677843895872268
dobrziy,4.0,1998.3333333333333,26.699971292330773
Nissafin,9.0,3249.1428571428573,26.135366237784815
HagarEinherjer,4.0,5007.0,25.106120721872525
o-hara,3.0,4934.333333333333,24.993159459855942
lNoNamel,43.0,2742.633333333333,26.293200438848
Jman98000,12.0,3525.125,25.623351089901107
D03D33R,25.0,3622.2727272727275,25.710715694867613
unexpectx,4.0,5461.666666666667,24.71427764185455
Venom190495,2.0,408.0,28.388392857142858
bvmin,2.0,3670.0,25.47447879397015
nichtschwimmer,4.0,4813.666666666667,24.90856771980478
selftomyself,6.0,2304.75,26.309873941172125
amecorah,3.0,2197.3333333333335,26.046728171443778
krunkafrunka,45.0,3088.7428571428572,26.157849996754454
mihhkel,48.0,3495.7105263157896,25.750403915800927
yavuzkbr,25.0,3575.95,25.65415780821297
mone_tpatpc,18.0,3495.6,25.69707941381273
Berek0,5.0,4148.0,25.214768154248155
ROliCK,49.0,3022.4146341463415,25.974083140606712
rupor,47.0,3177.8571428571427,26.131298197825103
crazy_smile_,18.0,3800.076923076923,25.606750470431095
rodo1532,2.0,7936.0,23.191229078302253
luiine,2.0,5634.0,24.41597528075789
