genre_1,genre_2,cosine_distance
rock,dance pop,0.007185081296707807
rock,pop,0.0166360300407129
rock,pop dance,0.0020181439491500086
rock,modern rock,0.33322285874557056
rock,indie folk,0.01917825991348321
rock,indie rock,0.15094833137361285
rock,electropop,0.008828602446974698
rock,pop rock,0.17953514034176898
rock,stomp and holler,0.03741730468160842
rock,country rock,0.20409942864913577
rock,modern alternative rock,0.2077645524459496
rock,soft rock,0.276232416320183
rock,funk,0.021351547029994866
rock,mellow gold,0.3315189972792201
rock,indie pop,0.08095265486921721
rock,tropical house,0.0024789790691694957
rock,adult standards,0.014900223194598272
rock,indie poptimism,0.032632841302022375
rock,folk rock,0.24987335540437594
rock,classic rock,0.5073186306694906
rock,alternative rock,0.32534704131567427
rock,new americana,0.02069042400447485
rock,soul,0.007850014773305602
rock,album rock,0.49814917799804426
rock,folk,0.10508138749854679
rock,new wave pop,0.10767638041163308
rock,pop punk,0.029797826684880513
rock,art rock,0.29779308926782466
rock,hard rock,0.46270989807341756
rock,post-teen pop,0.0027498066610159855
rock,alternative metal,0.19885254359979865
rock,metal,0.1941824150422955
rock,blues rock,0.2801774845610263
rock,brill building pop,0.047581541941895455
rock,art pop,0.01135008707678331
rock,roots rock,0.1881495251211971
rock,freak folk,0.017391304347826098
rock,dance rock,0.19317992549779905
rock,europop,0.005897678246195914
rock,motown,0.0030254451040802044
rock,electronica,0.0030496168206592955
rock,vapor soul,0.003108349360801066
rock,neo mellow,0.031257632189636286
rock,disco,0.0031257632189636286
rock,hip pop,0.0031345806221467765
rock,psychedelic rock,0.21952469027506905
rock,jazz fusion,0.019719885548307503
rock,nu metal,0.1431148524100062
rock,modern blues rock,0.11648883335698179
rock,new wave,0.1420671192132651
rock,alternative dance,0.05769345204000664
rock,punk,0.06469549633766492
rock,deep new americana,0.006832866555355199
rock,metalcore,0.0068559117019105775
rock,rock-and-roll,0.02761084110913714
rock,classic soul,0.0034513551386421426
rock,traditional folk,0.03451355138642154
rock,electric blues,0.09035624609139903
rock,alternative country,0.01743685127265393
rock,bubblegum pop,0.03876990572676331
rock,blues,0.0354998513446837
rock,escape room,0.0035759926992607882
rock,classic uk pop,0.09006450929125254
rock,dance-punk,0.10320936930842795
rock,modern blues,0.037005324524126415
rock,lilith,0.03343669275452121
rock,new rave,0.07961459445815577
rock,new romantic,0.09898030839149452
rock,shimmer pop,0.011517184622813037
rock,melodic metalcore,0.007811665668645107
rock,dream pop,0.02364331218717297
rock,chillwave,0.003940552031195477
rock,ska,0.008101084098853795
rock,permanent wave,0.2956895696081645
rock,metropopolis,0.012267912301642925
rock,indie anthem-folk,0.004109107141794133
rock,singer-songwriter,0.10683678568664812
rock,rap rock,0.07582729173680425
rock,power metal,0.03830654388414367
rock,death metal,0.03459510000515287
rock,indietronica,0.03913043478260869
rock,rockabilly,0.008695652173912993
rock,symphonic rock,0.13114949909639217
rock,neo-psychedelic,0.004395869822638621
rock,post-grunge,0.1237739086367099
rock,nu gaze,0.013261490211076032
rock,modern hard rock,0.06223759142641416
rock,australian pop,0.004445542244743916
rock,skate punk,0.008942036680197885
rock,chamber pop,0.004496937504132825
rock,screamo,0.004496937504132825
rock,pub rock,0.04946631254546163
rock,melancholia,0.04523312730319007
rock,neo classical metal,0.018093250921276005
rock,glam metal,0.2328717436956611
rock,jam band,0.04783648732349399
rock,merseybeat,0.03348554112644575
rock,emo,0.009630868246861546
rock,progressive rock,0.0866778142217538
rock,chamber psych,0.009761906491267625
rock,post-hardcore,0.019796886565757954
rock,stoner rock,0.03514305986371635
rock,space rock,0.010114434748483503
rock,comic,0.0252860868712087
rock,progressive metal,0.020228869496966895
rock,heartland rock,0.2022886949696694
rock,experimental,0.01539981007018032
rock,thrash metal,0.07241648401566203
rock,britpop,0.1293151500279679
rock,shoegaze,0.015517818003356165
rock,post-punk,0.08340576562282986
rock,la indie,0.05254069374927339
rock,black metal,0.005296271413323783
rock,canadian pop,0.005296271413323783
rock,southern rock,0.10145063298823453
rock,stoner metal,0.03768673314407156
rock,synthpop,0.04845437118523488
rock,brooklyn indie,0.005475856781933963
rock,canadian indie,0.01642757034580178
rock,yacht rock,0.07118613816514119
rock,instrumental rock,0.027379283909669705
rock,british blues,0.11047363533322152
rock,doom metal,0.005572782125753517
rock,reggae fusion,0.005572782125753517
rock,conscious hip hop,0.005572782125753517
rock,outlaw country,0.005572782125753517
rock,anti-folk,0.028116077855776633
rock,punk blues,0.08997144913848532
rock,pop emo,0.017025130615174966
rock,pixie,0.01718499450378619
rock,social media pop,0.005728331501262063
rock,power pop,0.07518094115561125
rock,industrial metal,0.03503742974842705
rock,classic garage rock,0.005839571624737805
rock,garage rock,0.1651349908934847
rock,piano rock,0.04213504858001926
rock,modern folk rock,0.006019292654288466
rock,old school thrash,0.07299588776069688
rock,protopunk,0.08608256466618835
rock,grunge,0.18446263857040368
rock,noise pop,0.02459501847605383
rock,texas blues,0.018650096164806285
rock,neon pop punk,0.018860838403857993
rock,christian rock,0.006286946134619331
rock,british invasion,0.08173029975005108
rock,funk metal,0.09539445011233405
rock,soul blues,0.006359630007488959
rock,speed metal,0.05791405068790079
rock,rap metal,0.045044261646145056
rock,german metal,0.019538688270775095
rock,canadian singer-songwriter,0.026051584361033497
rock,big beat,0.013025792180516693
rock,baroque pop,0.03296902366978938
dance pop,pop,0.5383885741210505
dance pop,pop dance,0.44190360125603
dance pop,edm,0.15434921646158006
dance pop,modern rock,0.010891488645211833
dance pop,rap,0.08452274250896541
dance pop,electropop,0.2644414309624392
dance pop,pop rock,0.12133325708072529
dance pop,pop rap,0.2773981976761948
dance pop,hip hop,0.11528237319733314
dance pop,electro house,0.09494048035773206
dance pop,modern alternative rock,0.002438531221424678
dance pop,soft rock,0.021946780992822434
dance pop,funk,0.01960272126712681
dance pop,urban contemporary,0.2994185696846433
dance pop,mellow gold,0.007498055444021157
dance pop,indie pop,0.017735961445750847
dance pop,tropical house,0.19203202562383537
dance pop,indie poptimism,0.09333694396808068
dance pop,pop edm,0.06029087285215784
dance pop,alternative rock,0.00529191276126173
dance pop,soul,0.013513217390737853
