,user_degree,avg_pop_choice,avg_aud_omni
tblbrad,3.0,3365.0,18.83044985968246
gmirzan,10.0,5606.5,25.25734014710047
y0david6,3.0,4819.333333333333,25.391031828800134
Spon4ik,13.0,4275.923076923077,25.290005491215876
Vii-Pii,25.0,3734.68,25.675403123308616
RafaAdkins,48.0,3186.4166666666665,26.3948945609952
malevolentDeity,5.0,2455.6,27.30292354160585
Alimede,2.0,2466.5,26.0292750259013
mike_davies89,2.0,2709.0,26.79180212325448
Zendio,1.0,8991.0,21.468802135468803
leithau,10.0,4621.9,24.637513840012467
Mireize,5.0,3545.4,18.868910274293686
IAzero,2.0,2683.5,27.848309862021246
BohEmiA,2.0,436.5,23.130826271186443
bars_9,3.0,4860.333333333333,22.469756541853588
tencet,8.0,3808.875,23.900575298445794
orcunk25,2.0,1537.0,28.629047544046404
viitor,19.0,4870.9473684210525,24.192498907451785
danceontables,2.0,1236.5,26.863684321791464
Tcc91,3.0,4528.666666666667,23.13092967723797
cucacola54,1.0,3039.0,28.862125699243173
Jaimehere,9.0,2654.5555555555557,26.73326863748135
skalaso,14.0,4037.3571428571427,25.751945892928514
DragonDance,18.0,2167.3333333333335,27.30604000926366
Classicle_EVE,3.0,4142.666666666667,26.806922771361744
otakuloco,25.0,3142.96,25.534663943970287
Veressis,2.0,1182.0,28.10001721703798
LadyTrax,2.0,624.0,13.725415189401009
enlesa,3.0,4181.333333333333,24.891852390922654
aniri9,4.0,1344.5,27.38455594793311
tomasreinerson,5.0,3893.2,24.74661849063984
ludjakinja1,9.0,3372.0,26.38968624812432
heinrito,5.0,1240.0,26.968053853091533
Paulo_95,9.0,6082.111111111111,23.941517682158434
linkinkov,6.0,1130.0,24.50210113127811
shiduba,5.0,2131.4,27.065405440703092
SirFrost,7.0,4767.571428571428,24.525922848192444
Anxiosum,44.0,2526.2954545454545,26.7743915050923
DreamchildNYC,7.0,2215.1428571428573,24.587564785503382
Dani-Bubi,1.0,193.0,14.336787564766839
Argella,2.0,2160.5,23.563954114928215
probertoj,4.0,4468.75,24.644935775508515
Obscure_Thing,2.0,1908.5,27.59869536968188
neemas,12.0,3428.4166666666665,24.59226119778629
bobo12b,6.0,1594.1666666666667,29.09343611257093
aneckcharcha,12.0,3630.3333333333335,25.00972829192618
smlak,1.0,2392.0,28.165133779264213
JuicyJohnPink,3.0,8786.0,22.176422455842246
Nightfalldeath,34.0,1684.0,27.48815456437407
lgvs69,1.0,7093.0,21.984350768363175
Swerveaction,21.0,2509.190476190476,24.4962170868708
Bartasskce,5.0,1206.8,24.351514041987592
evanstapler,2.0,1313.5,24.687515974732538
demunas,3.0,2979.3333333333335,26.808937385549495
Lotio,5.0,2538.6,23.93663860250089
breyten,1.0,343.0,20.997084548104958
Quadrosa,13.0,5215.153846153846,25.56139022828503
HoldingMyCrown,16.0,1969.3125,24.472952490052982
gsousa16,3.0,1134.0,26.871434852984986
ganaffe,31.0,3745.064516129032,26.124742248106486
tulliotoledo,11.0,4120.636363636364,23.630078268114413
jorisova,1.0,422.0,14.867298578199053
pokemei,4.0,4333.75,21.05143601496661
pranavc,2.0,2617.0,23.885804938222346
Hellstormen,19.0,3308.9473684210525,26.33715787566857
kwolana,41.0,2704.6341463414633,26.178972232771123
elovitnas,32.0,1741.15625,28.281371458870787
bbaran,1.0,1197.0,25.358395989974937
Kr4ken,12.0,2031.9166666666667,27.857277780307154
Giselle-,20.0,3392.6,24.738798996809255
eldondelmono,3.0,3982.6666666666665,27.38765523001719
AugustoF_,14.0,4219.071428571428,24.498628204133933
Golden69,4.0,5924.5,23.94220514846331
DuRAchOK99,19.0,3155.2631578947367,26.66258099231185
Wrathu,26.0,3647.8076923076924,25.04362813613868
Caroto,3.0,373.6666666666667,18.449200239897916
Bengal_Chris,2.0,7035.0,25.143736224655584
h-note,13.0,3581.076923076923,25.42428476708386
abs_zero,40.0,3618.175,25.580215856390378
toporminatorr,21.0,3137.714285714286,25.50232344861226
Kurse_Ten,10.0,2029.2,24.276740238562514
GWiltemburg,10.0,5358.5,24.64105587946421
DeriRamadhan,4.0,4286.5,24.376436546634096
syllabel,1.0,193.0,14.336787564766839
ksils,1.0,1008.0,29.723214285714285
inhyung,33.0,3445.2727272727275,24.796044557670193
MosPos,2.0,3115.0,23.16251495608359
Caze44,6.0,2959.1666666666665,27.088097601328297
m_fic,1.0,10274.0,23.076114463694765
Paradoxxxxxx,4.0,3078.25,24.996967320771546
sebasnian,7.0,1850.857142857143,25.385956232391866
EatMyShit_Yummy,2.0,2640.5,25.214090529440753
ddeFDA,18.0,4007.8888888888887,25.198954855545864
darkthrone,47.0,2698.595744680851,26.4947018045623
FreddaZ,8.0,2402.375,27.75646668736539
cavester42,1.0,3334.0,28.047090581883623
JetPistol,5.0,3843.6,26.143447836458016
esitagumik,4.0,3923.75,24.55937959024365
stek69,31.0,2978.2580645161293,25.387885459106464
frockchick,4.0,1789.5,26.19654237143488
the_chemist,4.0,3892.5,24.59069442231868
andystevio,3.0,1343.0,26.903034275170096
gellik,7.0,3917.1428571428573,26.284598320886197
ks7_,1.0,562.0,20.01067615658363
tmangia,9.0,3600.5555555555557,22.722727085534892
AurelBUD,2.0,8146.5,23.032893823532667
wilsden,6.0,3251.6666666666665,24.279396882421434
fuckmerenegade,13.0,4292.384615384615,24.96905752852991
FlyLo1,2.0,2013.0,22.993668831168833
toxicshampoo,26.0,2096.769230769231,26.07769485883388
ligeia_,4.0,5996.75,23.1413450264228
Sliron,1.0,2169.0,27.82803135085293
Grenzae,26.0,3228.076923076923,26.71959503914392
guhsc,1.0,782.0,10.847826086956522
Doorchaser,23.0,3108.695652173913,25.166601672041253
Gavrog,4.0,4430.25,26.21109455979858
prateekbansal14,6.0,3155.5,21.248516929158907
MrDulitl,8.0,758.625,23.383985679601132
PeaC_eR,7.0,3830.0,26.675019014278966
KungenE,3.0,2048.3333333333335,28.077543650496324
IndieRock4Ever,3.0,6888.0,23.366629589085406
pozitr0n,7.0,3869.1428571428573,22.364899495349913
Lilitee,1.0,8440.0,23.427251184834123
Medjutim,5.0,4245.4,25.35697899769368
axllive,2.0,2255.0,24.180712044566818
ZiulK,18.0,4003.3333333333335,25.537639783001957
Quutone,48.0,3136.3333333333335,26.71806710931902
HeadCRasher,31.0,1978.483870967742,27.68157360480577
iliveinacake,5.0,2302.4,25.60360085907958
cocoapelican,5.0,4430.4,23.82872779643988
ReptileScience,44.0,3468.818181818182,26.893503831038462
lesod,7.0,1580.5714285714287,25.342726768606457
smerdelis,22.0,3477.5454545454545,26.588477897755034
Godai,1.0,5262.0,24.64044089699734
derbydancedozen,1.0,690.0,22.52173913043478
Zalogin,5.0,3839.6,23.787157058854753
Agaseng,10.0,5374.6,25.19140590994335
iveslamego,6.0,4580.333333333333,22.45326073663915
Sytten,11.0,2359.181818181818,27.089707477283465
VisibleDucts,7.0,4195.571428571428,24.165374702933935
flodecros,4.0,1192.5,25.898359535786298
ffxaa,4.0,6448.0,24.50198156386649
imstepan,1.0,485.0,20.136082474226804
GreenAphelion,1.0,1125.0,27.942222222222224
Ale-Rawk,43.0,3595.279069767442,25.366362238760008
Alza_xD,2.0,840.0,25.708266112874618
X-RomeGa,46.0,2957.2391304347825,27.43909311027749
Sukapachroni,4.0,6234.75,22.4491320792307
E-smile,12.0,4282.0,24.94468804316186
mcastilloy2k,36.0,2595.1111111111113,25.61068896757125
danish02,8.0,3766.75,24.993515620964047
barshoe,6.0,5002.5,24.26389183132923
